,path,index,x,y,v
0,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_0.png,0,605,672,171.0
1,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_1.png,1,599,548,249.0
2,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_2.png,2,587,539,126.0
3,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_3.png,3,576,540,136.0
4,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_4.png,4,400,199,36.0
5,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_5.png,5,829,225,36.0
6,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_6.png,6,828,238,36.0
7,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_7.png,7,400,199,36.0
8,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_8.png,8,400,201,38.0
9,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_9.png,9,400,198,36.0
10,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_10.png,10,400,197,37.0
11,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_11.png,11,400,202,40.0
12,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_12.png,12,596,351,136.0
13,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_13.png,13,400,200,37.0
14,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_14.png,14,400,202,36.0
15,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_15.png,15,826,284,35.0
16,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_16.png,16,619,255,121.0
17,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_17.png,17,625,230,68.0
18,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_18.png,18,826,267,36.0
19,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_19.png,19,639,182,101.0
20,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_20.png,20,650,160,189.0
21,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_21.png,21,663,137,238.0
22,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_22.png,22,665,126,135.0
23,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_23.png,23,663,149,247.0
24,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_24.png,24,400,198,35.0
25,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_25.png,25,657,196,112.0
26,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_26.png,26,825,269,36.0
27,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_27.png,27,400,200,37.0
28,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_28.png,28,400,197,36.0
29,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_29.png,29,400,199,37.0
30,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_30.png,30,826,271,35.0
31,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_31.png,31,826,269,36.0
32,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_32.png,32,403,198,37.0
33,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_33.png,33,400,195,35.0
34,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_34.png,34,826,270,36.0
35,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_35.png,35,400,200,36.0
36,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_36.png,36,402,197,35.0
37,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_37.png,37,827,271,37.0
38,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_38.png,38,825,271,35.0
39,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_39.png,39,824,295,34.0
40,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_40.png,40,400,201,35.0
41,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_41.png,41,826,269,38.0
42,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_42.png,42,400,198,36.0
43,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_43.png,43,826,269,37.0
44,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_44.png,44,722,454,192.0
45,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_45.png,45,827,263,34.0
46,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_46.png,46,827,231,35.0
47,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_47.png,47,825,268,35.0
48,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_48.png,48,828,273,35.0
49,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_49.png,49,400,201,40.0
50,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_50.png,50,400,198,36.0
51,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_51.png,51,403,202,36.0
52,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_52.png,52,400,199,38.0
53,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_53.png,53,400,198,36.0
54,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_54.png,54,692,217,131.0
55,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_55.png,55,685,192,104.0
56,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_56.png,56,400,199,37.0
57,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_57.png,57,678,145,39.0
58,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_58.png,58,827,236,35.0
59,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_59.png,59,694,159,63.0
